name,supports_sharing,server_type,latest_version,latest_date,download,image
SR-T50-SUPER,نعم,FUNCAM,21/09/25,v3.75,https://falahsab.github.io/centers/,
SR-9990HD-EXTREME,نعم,FUNCAM,22/09/25,v3.76,https://falahsab.github.io/centers/,
SR-9990HD-PLUS,نعم,FUNCAM,23/09/25,v3.77,https://falahsab.github.io/centers/,
  SR-NANO,نعم,FUNCAM,24/09/25,v3.78,https://falahsab.github.io/centers/,
SR-T20_EXTREME,نعم,FUNCAM,25/09/25,v3.79,https://falahsab.github.io/centers/,
SR-T40HD-EXTREME,نعم,FUNCAM,26/09/25,v3.80,https://falahsab.github.io/centers/,
SR-T20,نعم,FUNCAM,27/09/25,v3.81,https://falahsab.github.io/centers/,
SR-8989HD_VEGA,نعم,FUNCAM,28/09/25,v3.82,https://falahsab.github.io/centers/,
SR-8989HD-VEGA-PLUS,نعم,FUNCAM,29/09/25,v3.83,https://falahsab.github.io/centers/,
SR-9990HD,نعم,FUNCAM,30/09/25,v3.84,https://falahsab.github.io/centers/,
SR-6060HD,نعم,FUNCAM,01/10/25,v3.85,https://falahsab.github.io/centers/,
SR-6969HD_VEGA,نعم,FUNCAM,02/10/25,v3.86,https://falahsab.github.io/centers/,
SR-6969HD-EXTREME,نعم,FUNCAM,03/10/25,v3.87,https://falahsab.github.io/centers/,
SR-5959HD-EXTREME,نعم,FUNCAM,04/10/25,v3.88,https://falahsab.github.io/centers/,
SR-5959HD-PLUS_V2.77_10042020,نعم,FUNCAM,05/10/25,v3.89,https://falahsab.github.io/centers/,
SR-5959HD-PRO,نعم,FUNCAM,06/10/25,v3.90,https://falahsab.github.io/centers/,
SR-5080HD_EXTREME,نعم,FUNCAM,07/10/25,v3.91,https://falahsab.github.io/centers/,
SR-5090HD_EXTREME ,نعم,FUNCAM,08/10/25,v3.92,https://falahsab.github.io/centers/,
SR-5959HD,نعم,FUNCAM,09/10/25,v3.93,https://falahsab.github.io/centers/,
SR-4080HD_EXTREME,نعم,FUNCAM,10/10/25,v3.94,https://falahsab.github.io/centers/,
SR-4080HD_PLUS,نعم,FUNCAM,11/10/25,v3.95,https://falahsab.github.io/centers/,
SR-4080HD,نعم,FUNCAM,12/10/25,v3.96,https://falahsab.github.io/centers/,
SR-4080HD_VEGA,نعم,FUNCAM,13/10/25,v3.97,https://falahsab.github.io/centers/,
SR-4090HD_EXTREME,نعم,FUNCAM,14/10/25,v3.98,https://falahsab.github.io/centers/,
SR-4090HD,نعم,FUNCAM,15/10/25,v3.99,https://falahsab.github.io/centers/,
SR-4070HD,نعم,FUNCAM,16/10/25,v3.100,https://falahsab.github.io/centers/,
SR-4070HD_VEGA,نعم,FUNCAM,17/10/25,v3.101,https://falahsab.github.io/centers/,
SR-4077HD,نعم,FUNCAM,18/10/25,v3.102,https://falahsab.github.io/centers/,
SR-2090HD_VEGA ,نعم,FUNCAM,19/10/25,v3.103,https://falahsab.github.io/centers/,
SR-2090HD-EXTREME,نعم,FUNCAM,20/10/25,v3.104,https://falahsab.github.io/centers/,
SR-2090HD-EXTREME-DOLBY,نعم,FUNCAM,21/10/25,v3.105,https://falahsab.github.io/centers/,
SR-2090HD_NEW_V2.77_10042020,نعم,FUNCAM,22/10/25,v3.106,https://falahsab.github.io/centers/,
SR-2090HD_SUPER_DELUXE,نعم,FUNCAM,23/10/25,v3.107,https://falahsab.github.io/centers/,
SR-2090HD_SUPER,نعم,FUNCAM,24/10/25,v3.108,https://falahsab.github.io/centers/,
SR-1515HD_EXTREME,نعم,FUNCAM,25/10/25,v3.109,https://falahsab.github.io/centers/,
SR-1515HD_PRIME,نعم,FUNCAM,26/10/25,v3.110,https://falahsab.github.io/centers/,
SR-2070HD-EXTREME,نعم,FUNCAM,27/10/25,v3.111,https://falahsab.github.io/centers/,
SR-488-VEGA,نعم,FUNCAM,28/10/25,v3.112,https://falahsab.github.io/centers/,
SR-1000HD-EXTREME,نعم,FUNCAM,29/10/25,v3.113,https://falahsab.github.io/centers/,
SR-1111HD-EXTREME,نعم,FUNCAM,30/10/25,v3.114,https://falahsab.github.io/centers/,
SR-99HD-PRO,نعم,FUNCAM,31/10/25,v3.115,https://falahsab.github.io/centers/,
SR-488-EXTREME,نعم,FUNCAM,01/11/25,v3.116,https://falahsab.github.io/centers/,https://starsat.com/wp-content/uploads/2024/02/Main1-2.jpg
SR-488-SPIDER ,نعم,FUNCAM,02/11/25,v3.117,https://falahsab.github.io/centers/,
SR-4044HD-CA-EXTREME,نعم,FUNCAM,03/11/25,v3.118,https://falahsab.github.io/centers/,
SR-4070HD_EXTREME,نعم,FUNCAM,04/11/25,v3.119,https://falahsab.github.io/centers/,
SR-4070HD_PLUS,نعم,FUNCAM,05/11/25,v3.120,https://falahsab.github.io/centers/,
SR-2099HD-CA-EXTREME,نعم,FUNCAM,06/11/25,v3.121,https://falahsab.github.io/centers/,
SR-4040HD_VEGA,نعم,FUNCAM,07/11/25,v3.122,https://falahsab.github.io/centers/,
SR-4040HD-EXTREME    ,نعم,FUNCAM,08/11/25,v3.123,https://falahsab.github.io/centers/,
Starsat X7 Extreme,نعم,FOREVER,09/11/25,v3.124,https://falahsab.github.io/centers/,
Starsat X4 Extreme,نعم,FOREVER,10/11/25,v3.125,https://falahsab.github.io/centers/,
Starsat X2 Extreme,نعم,FOREVER,11/11/25,v3.126,https://falahsab.github.io/centers/,
Starsat X3 Extreme,نعم,FOREVER,12/11/25,v3.127,https://falahsab.github.io/centers/,
Starsat X3 Pro,نعم,FOREVER,13/11/25,v3.128,https://falahsab.github.io/centers/,
