name,size,date,image
za-300hd-extreme-v3-75-26092025-zip,2.89 ميجابايت,27-09-2025,img/starsat.png
za-400hd-extreme-v3-75-26092025-zip,2.89 ميجابايت,27-09-2025
za-7100-extreme-new-v3-75-26092025-zip,2.83 ميجابايت,27-09-2025
za-7200-extreme-new-v3-75-26092025-zip,2.83 ميجابايت,27-09-2025
fn-20-v2-22-26092025-zip,2.75 ميجابايت,27-09-2025
fn-30-v2-22-26092025-zip,2.75 ميجابايت,27-09-2025
fn-50-v134-26092025-zip,5.23 ميجابايت,27-09-2025
hk-100s-v3-72-26092025-bin,3.13 ميجابايت,27-09-2025
nano-v3-75-26092025-zip,2.89 ميجابايت,27-09-2025
s50-v3-69-26092025-zip,2.9 ميجابايت,27-09-2025
s60-v3-69-26092025-zip,2.9 ميجابايت,27-09-2025
s65-v3-69-26092025-zip,2.84 ميجابايت,27-09-2025
sl-101-v3-69-26092025-zip,2.88 ميجابايت,27-09-2025
sl-102-v3-69-26092025-zip,2.88 ميجابايت,27-09-2025
sr-688hd-gold-v3-69-26092025-zip,2.9 ميجابايت,27-09-2025
sr-888hd-gold-v3-69-26092025-zip,2.9 ميجابايت,27-09-2025
sr-vi20-vega-new-v3-69-26092025-zip,2.87 ميجابايت,27-09-2025
sr-888hd-gold-plus-v3-69-26092025-zip,2.9 ميجابايت,27-09-2025
sr-vi40-vega-new-v3-69-26092025-zip,2.87 ميجابايت,27-09-2025
sr-999hd-universal-v3-75-26092025-zip,2.89 ميجابايت,27-09-2025
sr-999hd-universal-plus-v3-75-26092025-zip,2.89 ميجابايت,27-09-2025
file-68d7816d8a4dc-sr-1110hd-extreme-v3-72-19092025-multsw-zip,8.59 ميجابايت,27-09-2025
sr-2022hd-v3-69-26092025-multsw-zip,8.63 ميجابايت,27-09-2025
sr-2023hd-v3-75-26092025-zip,2.87 ميجابايت,27-09-2025
sr-2090hd-extreme-v3-75-26092025-zip,2.89 ميجابايت,27-09-2025
sr-4060hd-v3-75-26092025-zip,2.88 ميجابايت,27-09-2025
sr-4060hd-extreme-v3-69-26092025-zip,2.89 ميجابايت,27-09-2025
sr-4070hd-extreme-v3-75-26092025-zip,2.89 ميجابايت,27-09-2025
sr-4070hd-vega-v3-69-26092025-zip,2.87 ميجابايت,27-09-2025
sr-4080hd-extreme-v3-75-26092025-zip,2.89 ميجابايت,27-09-2025
sr-5080hd-extreme-v3-75-26092025-zip,2.88 ميجابايت,27-09-2025
sr-4080hd-vega-v3-69-26092025-zip,2.87 ميجابايت,27-09-2025
za-200hd-extreme-v3-75-26092025-zip,2.89 ميجابايت,27-09-2025
za-100hd-extreme-v3-75-26092025-zip,2.89 ميجابايت,27-09-2025
xm56-v116-26092025-zip,5.72 ميجابايت,27-09-2025
sx-9901-v3-72-26092025-zip,2.87 ميجابايت,27-09-2025
sx-9001-v3-72-26092025-zip,2.86 ميجابايت,27-09-2025
sx-201-v3-69-26092025-zip,2.88 ميجابايت,27-09-2025
sr-t30-pro-v211-26092025-zip,4.96 ميجابايت,27-09-2025
sr-t30-pro-jordan-v211-26092025-bin,5.72 ميجابايت,27-09-2025
file-68d7818696e6e-sr-35000-hd-v3-72-19092025-multsw-zip,8.55 ميجابايت,27-09-2025
file-68d7818562b28-sr-25000hd-extreme-v3-72-19092025-multsw-zip,8.55 ميجابايت,27-09-2025
sr-9991hd-universal-plus-v3-69-26092025-zip,2.88 ميجابايت,27-09-2025
sr-9991hd-universal-v3-69-26092025-zip,2.88 ميجابايت,27-09-2025
sr-9991hd-v3-69-26092025-zip,2.88 ميجابايت,27-09-2025
sr-6062hd-v3-72-26092025-zip,2.87 ميجابايت,27-09-2025
sr-7075hd-v163-26092025-zip,5.29 ميجابايت,27-09-2025
sr-7071hd-v153-26092025-zip,5.64 ميجابايت,27-09-2025
sr-7060-v213-26092025-zip,4.96 ميجابايت,27-09-2025
sr-9900hd-v3-72-26092025-zip,2.87 ميجابايت,27-09-2025
sr-t30-pro-v211-26092025-zip,4.96 ميجابايت,27-09-2025
sx-201-v3-69-26092025-zip,2.88 ميجابايت,27-09-2025
sx-9001-v3-72-26092025-zip,2.86 ميجابايت,27-09-2025
sx-9901-v3-72-26092025-zip,2.87 ميجابايت,27-09-2025
xm56-v116-26092025-zip,5.72 ميجابايت,27-09-2025
za-100hd-extreme-v3-75-26092025-zip,2.89 ميجابايت,27-09-2025
za-200hd-extreme-v3-75-26092025-zip,2.89 ميجابايت,27-09-2025
sr-4080hd-vega-v3-69-26092025-zip,2.87 ميجابايت,27-09-2025
sr-220h4k-v2-06-18976-20250925-zip,6.07 ميجابايت,25-09-2025
sr-2090hd-vega-max-v3-73-22092025-zip,2.72 ميجابايت,23-09-2025
sr-2099hd-ca-extreme-v3-73-22092025-zip,2.73 ميجابايت,23-09-2025
sr-2200hd-extreme-v183-23092025-zip,5.74 ميجابايت,23-09-2025
sr-3030hd-extreme-v3-73-22092025-zip,2.7 ميجابايت,23-09-2025
sr-3031hd-v3-73-22092025-zip,2.82 ميجابايت,23-09-2025
